offline_datapoint_21 1701257480 72040448,000
offline_datapoint_1 1701257478 1,999
offline_datapoint_20 1701257480 10313334784,000
offline_datapoint_7 1701257480 6297653248,000
offline_datapoint_6 1701257478 0,130
offline_datapoint_12 1701257478 2,306
offline_datapoint_24 1701257478 1,106
offline_datapoint_13 1701257478 8680,980
offline_datapoint_18 1701257480 0,000
offline_datapoint_0 1701257478 14799,404
offline_datapoint_16 1701257478 2092,549
offline_datapoint_28 1701257478 0,522
offline_datapoint_17 1701257478 13,990
offline_datapoint_10 1701257478 99,678
offline_datapoint_29 1701257478 1,999
offline_datapoint_22 1701257478 15055,238
offline_datapoint_4 1701257478 0,005
offline_datapoint_11 1701257483 28230,000
offline_datapoint_5 1701257483 4997,000
offline_datapoint_26 1701257483 585666560,000
offline_datapoint_14 1701257483 483360768,000
offline_datapoint_3 1701257483 14087897088,000
offline_datapoint_9 1701257483 72822784,000
offline_datapoint_25 1701257483 752,000
offline_datapoint_19 1701257481 11,654
offline_datapoint_8 1701257481 11902,050
offline_datapoint_21 1701257483 72822784,000
offline_datapoint_1 1701257481 0,999
offline_datapoint_20 1701257483 10317660160,000
offline_datapoint_7 1701257483 6300729344,000
offline_datapoint_6 1701257481 0,000
offline_datapoint_12 1701257481 3,174
offline_datapoint_24 1701257481 1,366
offline_datapoint_13 1701257481 9331,585
offline_datapoint_18 1701257483 0,000
offline_datapoint_0 1701257481 16124,337
offline_datapoint_16 1701257481 7302,184
offline_datapoint_28 1701257481 0,706
offline_datapoint_17 1701257481 18,646
offline_datapoint_10 1701257481 99,666
offline_datapoint_29 1701257481 5,993
offline_datapoint_22 1701257481 39570,286
offline_datapoint_4 1701257481 0,007
offline_datapoint_11 1701257486 28230,000
offline_datapoint_5 1701257486 4989,000
offline_datapoint_26 1701257486 585658368,000
offline_datapoint_14 1701257486 483360768,000
offline_datapoint_3 1701257486 14083600384,000
offline_datapoint_9 1701257486 73375744,000
offline_datapoint_25 1701257486 751,000
offline_datapoint_19 1701257484 20,372
offline_datapoint_8 1701257484 13043,808
offline_datapoint_21 1701257486 73375744,000
offline_datapoint_1 1701257484 2,004
offline_datapoint_20 1701257486 10319519744,000
offline_datapoint_7 1701257486 6300966912,000
offline_datapoint_6 1701257484 0,000
offline_datapoint_12 1701257484 2,456
offline_datapoint_24 1701257484 0,783
offline_datapoint_13 1701257484 8592,122
offline_datapoint_18 1701257486 0,000
offline_datapoint_0 1701257484 14981,444
offline_datapoint_16 1701257484 4170,826
offline_datapoint_28 1701257484 0,428
offline_datapoint_17 1701257484 14,026
offline_datapoint_10 1701257484 99,786
offline_datapoint_29 1701257484 3,340
offline_datapoint_22 1701257484 17066,667
offline_datapoint_4 1701257484 0,004
offline_datapoint_11 1701257489 28230,000
offline_datapoint_5 1701257489 4989,000
offline_datapoint_26 1701257489 585576448,000
offline_datapoint_14 1701257489 483360768,000
offline_datapoint_3 1701257489 14085914624,000
offline_datapoint_9 1701257489 74031104,000
