84 1701293887 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293888 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293889 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293890 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293891 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293892 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293893 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293894 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293895 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293896 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293897 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293898 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293899 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293900 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293901 4,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293902 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293903 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293904 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293905 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293906 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293907 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293908 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293909 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293910 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293911 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293912 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293913 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293914 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293915 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293916 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293917 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293918 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293919 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293920 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293921 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293922 3,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293923 3,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293924 3,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293925 3,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293926 3,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293927 3,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293928 3,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293929 3,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293930 3,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293931 3,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293932 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293933 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293934 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293935 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293936 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293937 6,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293938 6,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293939 6,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293940 6,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293941 6,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293942 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293943 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293944 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293945 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293946 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293947 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293948 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293949 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293950 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293951 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293952 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293953 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293954 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293955 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293956 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293957 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293958 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293959 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293960 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293961 3,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293962 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293963 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293964 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293965 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293966 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293967 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293968 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293969 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293970 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293971 4,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293972 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293973 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293974 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293975 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293976 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293977 3,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293978 3,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293979 3,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293980 3,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293981 3,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293982 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293983 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293984 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293985 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293986 2,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293987 4,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293988 4,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293989 4,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293990 4,600000 -1,000000 -101,000000 0,000000 0,000000
